"FTE Staffing Report for 2015-16"

"District","School","Assignment Category","Educator Type","FTE Count"
"Colchester School District","Bacon Academy","Administrators  Coordinators and Department Chairs - School Level","Certified",3.0
"Colchester School District","Bacon Academy","Counselors  Social Workers  and School Psychologists","Certified",7.0
"Colchester School District","Bacon Academy","General Education - Paraprofessional Instructional Assistants","Non-Certified",1.5
"Colchester School District","Bacon Academy","General Education - Teachers and Instructors","Certified",63.6
"Colchester School District","Bacon Academy","Instructional Specialists Who Support Teachers","Certified",1.4
"Colchester School District","Bacon Academy","Library/Media - Support Staff","Non-Certified",1.5
"Colchester School District","Bacon Academy","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",20.0
"Colchester School District","Bacon Academy","School Nurses","Non-Certified",1.5
"Colchester School District","Bacon Academy","Special Education - Paraprofessional Instructional Assistants","Non-Certified",12.5
"Colchester School District","Bacon Academy","Special Education - Teachers and Instructors","Certified",8.0
"Colchester School District","Bacon Academy Alternative Education","Counselors  Social Workers  and School Psychologists","Certified",1.0
"Colchester School District","Bacon Academy Alternative Education","General Education - Teachers and Instructors","Certified",1.0
"Colchester School District","Bacon Academy Alternative Education","Special Education - Teachers and Instructors","Certified",1.0
"Colchester School District","Colchester Elementary School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0
"Colchester School District","Colchester Elementary School","Counselors  Social Workers  and School Psychologists","Certified",2.0
"Colchester School District","Colchester Elementary School","General Education - Paraprofessional Instructional Assistants","Non-Certified",10.8
"Colchester School District","Colchester Elementary School","General Education - Teachers and Instructors","Certified",28.9
"Colchester School District","Colchester Elementary School","Instructional Specialists Who Support Teachers","Certified",6.6
"Colchester School District","Colchester Elementary School","Library/Media - Specialists (Certified)","Certified",1.0
"Colchester School District","Colchester Elementary School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","Colchester Elementary School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",16.8
"Colchester School District","Colchester Elementary School","School Nurses","Non-Certified",1.0
"Colchester School District","Colchester Elementary School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",17.0
"Colchester School District","Colchester Elementary School","Special Education - Teachers and Instructors","Certified",6.0
"Colchester School District","Jack Jackter Intermediate School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0
"Colchester School District","Jack Jackter Intermediate School","Counselors  Social Workers  and School Psychologists","Certified",2.0
"Colchester School District","Jack Jackter Intermediate School","General Education - Paraprofessional Instructional Assistants","Non-Certified",7.0
"Colchester School District","Jack Jackter Intermediate School","General Education - Teachers and Instructors","Certified",34.3
"Colchester School District","Jack Jackter Intermediate School","Instructional Specialists Who Support Teachers","Certified",3.0
"Colchester School District","Jack Jackter Intermediate School","Library/Media - Specialists (Certified)","Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",14.2
"Colchester School District","Jack Jackter Intermediate School","School Nurses","Non-Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",21.0
"Colchester School District","Jack Jackter Intermediate School","Special Education - Teachers and Instructors","Certified",5.0
"Colchester School District","William J. Johnston Middle School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0
"Colchester School District","William J. Johnston Middle School","Counselors  Social Workers  and School Psychologists","Certified",4.0
"Colchester School District","William J. Johnston Middle School","General Education - Paraprofessional Instructional Assistants","Non-Certified",2.6
"Colchester School District","William J. Johnston Middle School","General Education - Teachers and Instructors","Certified",43.4
"Colchester School District","William J. Johnston Middle School","Instructional Specialists Who Support Teachers","Certified",3.0
"Colchester School District","William J. Johnston Middle School","Library/Media - Specialists (Certified)","Certified",0.6
"Colchester School District","William J. Johnston Middle School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","William J. Johnston Middle School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",17.0
"Colchester School District","William J. Johnston Middle School","School Nurses","Non-Certified",1.0
"Colchester School District","William J. Johnston Middle School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",10.0
"Colchester School District","William J. Johnston Middle School","Special Education - Teachers and Instructors","Certified",4.0

